Temperature (°C),Fever
36.1,No
36.3,No
38.8,Yes
38.7,Yes
35.9,No
38.2,Yes
36.3,No
39.3,Yes
37.6,Yes
37.6,Yes
38.2,Yes
35.8,No
36.6,No
39.7,Yes
36.1,No
36.1,No
38.5,Yes
37.0,No
37.7,Yes
37.1,No
37.6,Yes
40.0,Yes
36.5,No
37.0,No
39.6,Yes
37.6,Yes
35.9,No
36.0,No
39.5,Yes
38.1,Yes
38.6,Yes
36.7,No
39.6,Yes
39.9,Yes
40.0,Yes
39.7,Yes
35.9,No
35.8,No
36.6,No
36.6,No
36.6,No
39.6,Yes
38.4,Yes
35.5,No
37.0,No
37.8,Yes
39.6,Yes
36.2,No
38.7,Yes
37.1,No
39.0,Yes
36.5,No
36.0,No
37.1,No
39.4,Yes
38.0,Yes
37.5,Yes
37.6,Yes
38.0,Yes
37.1,No
36.4,No
39.9,Yes
37.1,No
39.1,Yes
35.8,No
38.3,Yes
36.2,No
37.2,No
39.0,Yes
35.7,No
36.2,No
35.9,No
38.8,Yes
36.3,No
38.9,Yes
39.0,Yes
39.5,Yes
37.0,No
38.2,Yes
39.5,Yes
35.9,No
39.6,Yes
38.8,Yes
35.6,No
37.6,Yes
38.5,Yes
38.9,Yes
38.5,Yes
36.0,No
38.1,Yes
36.1,No
38.7,Yes
35.9,No
38.6,Yes
36.2,No
37.7,Yes
36.7,No
37.8,Yes
35.8,No
39.1,Yes
